Date;Volume
27.04.2020;110817875
26.04.2020;NA
24.04.2020;42198520
23.04.2020;294565500
22.04.2020;122806250
21.04.2020;99108000
20.04.2020;150446250
19.04.2020;NA
17.04.2020;65960250
16.04.2020;220056000
15.04.2020;72947250
14.04.2020;76962875
13.04.2020;188595000
12.04.2020;NA
09.04.2020;102009375
08.04.2020;111517750
07.04.2020;284425000
06.04.2020;387002500
05.04.2020;NA
03.04.2020;134846500
02.04.2020;318028375
01.04.2020;84222250
31.03.2020;74959500
30.03.2020;134811250
29.03.2020;NA
27.03.2020;15413910
26.03.2020;116156250
25.03.2020;173141500
24.03.2020;258230000
23.03.2020;257397000
22.03.2020;NA
20.03.2020;211932875
19.03.2020;260288000
18.03.2020;235812500
17.03.2020;178106000
16.03.2020;401016000
15.03.2020;NA
13.03.2020;431151625
12.03.2020;555038750
11.03.2020;154884875
10.03.2020;200645250
09.03.2020;383134125
08.03.2020;NA
06.03.2020;83745375
05.03.2020;167850000
04.03.2020;80914000
03.03.2020;131424000
02.03.2020;95148000
01.03.2020;NA
28.02.2020;27543600
27.02.2020;172282500
26.02.2020;346951500
25.02.2020;192444000
24.02.2020;360420750
23.02.2020;NA
21.02.2020;103251750
20.02.2020;189630000
19.02.2020;462387750
18.02.2020;1056006000
17.02.2020;NA
16.02.2020;NA
14.02.2020;456040000
13.02.2020;844886000
12.02.2020;678146250
11.02.2020;804757625
10.02.2020;341288250
09.02.2020;NA
07.02.2020;418545000
06.02.2020;591342375
05.02.2020;682408125
04.02.2020;381039750
03.02.2020;421581500
02.02.2020;NA
31.01.2020;50377205
30.01.2020;710264000
29.01.2020;558429000
28.01.2020;714401500
27.01.2020;577391750
26.01.2020;NA
24.01.2020;415863000
23.01.2020;589836875
22.01.2020;205969000
21.01.2020;325815500
20.01.2020;NA
19.01.2020;NA
17.01.2020;305152500
16.01.2020;257753250
15.01.2020;310459500
14.01.2020;570881250
13.01.2020;131890875
12.01.2020;NA
10.01.2020;524072250
09.01.2020;416130000
08.01.2020;664426875
07.01.2020;461344125
06.01.2020;229512500
05.01.2020;NA
03.01.2020;310569250
02.01.2020;168209375
01.01.2020;NA
31.12.2019;106974375
30.12.2019;114894000
29.12.2019;NA
27.12.2019;21958170
26.12.2019;155552500
25.12.2019;NA
24.12.2019;128172000
23.12.2019;291038750
22.12.2019;NA
20.12.2019;89218000
19.12.2019;166117500
18.12.2019;405130500
17.12.2019;201227000
16.12.2019;269814000
15.12.2019;NA
13.12.2019;132130000
12.12.2019;163567500
11.12.2019;107466250
10.12.2019;122304000
09.12.2019;131404250
08.12.2019;NA
06.12.2019;130703625
05.12.2019;162892500
04.12.2019;315479625
03.12.2019;62885250
02.12.2019;160210000
01.12.2019;NA
