Date;BITFINEX;BITSTAMP;HITBTC;COINBASE;BINANCE
28.05.2018;185826063,1861;46826086,3666;69617336,2112;55340052,5876;193230797,0990
29.05.2018;202848873,3218;82536832,3601;64608415,2590;77210860,6328;294028633,3167
30.05.2018;161910325,6801;65942374,8204;67926483,0144;46058045,9995;236337439,1399
31.05.2018;143061370,0201;54985897,3835;66771980,3234;45417692,6959;230359140,0791
01.06.2018;142307141,3534;50798153,2750;65151637,1655;52125507,6735;212537154,7819
02.06.2018;123833198,8922;30660993,6272;57215849,4969;38723254,4932;204146874,8939
03.06.2018;104563566,9991;36432273,8450;53660346,5596;40126016,3041;212181947,4893
04.06.2018;132236191,2637;52345367,8888;49104518,1814;45180904,4910;241521898,5060
05.06.2018;123602426,1738;75919910,1909;58377617,7174;43692374,6209;241887672,0530
06.06.2018;125175490,6352;54054614,1960;48306147,3336;43915872,3155;208550135,8304
07.06.2018;83256641,6093;58015688,7308;52993499,8575;38743749,7602;192755594,3888
08.06.2018;92019750,0840;35626535,7623;54477912,6297;30060301,7392;177896089,8320
09.06.2018;49810781,8594;20333547,2367;55364841,4672;20804361,3153;144889197,9696
10.06.2018;350427901,6465;97599314,3072;57993519,2348;127205843,5007;354093242,0963
11.06.2018;153385742,1807;78504486,5271;53195208,9978;79960932,5972;237442459,3462
12.06.2018;194519780,0300;57888484,4111;54533669,7600;70822941,2725;239796039,0772
13.06.2018;274010038,2239;121042188,5788;61373898,1776;109492646,2645;290635304,5893
14.06.2018;201501096,0326;94165237,3857;64412978,6846;96578447,0374;295155986,6717
15.06.2018;125343822,4134;45579080,7039;61775649,0420;44921577,6892;191784107,9045
16.06.2018;88595163,9763;23056119,5264;52352081,4178;29317612,0724;144445186,0523
17.06.2018;54961815,3781;18255127,4754;60069946,9996;21115080,3412;128007007,1610
18.06.2018;153655766,4544;39843719,7711;57181791,6288;53981150,1919;213599880,5711
19.06.2018;116726737,3310;36671457,8211;61616009,6100;41463828,7263;163888395,3234
20.06.2018;125115577,7265;35092114,7089;62086167,0110;45173584,2373;178231729,8017
21.06.2018;71463132,4945;32498741,8264;51327393,5388;29462877,6433;170851620,6466
22.06.2018;325184096,0086;112200416,3954;60536933,3070;110247817,8434;315291306,6855
23.06.2018;125581353,3163;28328670,7140;47817935,9529;37503504,5865;163729617,3666
24.06.2018;276383008,0835;70293942,8823;59256529,2088;81249483,0511;291174672,2069
25.06.2018;167200367,5703;60595537,9471;51176134,7811;57696196,0201;244856549,6931
26.06.2018;112179876,6269;47036842,8294;56284951,3356;40578363,7564;117634142,5968
27.06.2018;111217766,4505;45691261,6050;50218884,0000;43301927,4927;117925075,5839
28.06.2018;102854345,1540;50638416,5736;44724206,3483;44602227,6537;168770171,9990
29.06.2018;196683997,1531;74868879,3017;59284953,5733;68629873,1170;210179445,6461
30.06.2018;141857210,3094;44157752,1928;51334431,6330;43299632,1253;242308980,4205
01.07.2018;71216186,4497;26420438,7447;53120242,8050;25836477,3632;175212537,7332
02.07.2018;174323169,0751;58192917,7649;49594849,9839;54798286,0668;239674948,5575
03.07.2018;112160282,4957;38558964,8855;59559329,2785;42275260,8804;251811377,8457
04.07.2018;146910918,4846;44158813,3803;55061634,9796;45110042,6596;155267586,2842
05.07.2018;146546275,5445;50258553,2995;49674162,0544;45633459,9656;228991925,4456
06.07.2018;97881216,2365;36001698,3149;54745261,2843;34420934,2505;194308328,9234
07.07.2018;89793802,9489;32737251,6608;56813537,8731;30364542,6854;161991006,6412
08.07.2018;89038894,3418;34511129,1528;44089893,9950;22260762,9002;165271687,8881
09.07.2018;105166781,2813;47768711,9902;56211654,9696;35013572,5250;178094500,3249
10.07.2018;165449409,6772;57722076,5512;52361129,5200;51550819,1087;242813085,5440
11.07.2018;104091965,1851;40641472,7926;51655232,8275;32194960,7548;183149459,4350
12.07.2018;145479847,4612;48655227,9641;57986922,3372;58819259,3119;195684490,7231
13.07.2018;124056409,7606;36680034,6301;54696443,5545;37146748,7078;163911305,2626
14.07.2018;55580508,4048;16139027,1659;57386720,7448;19026002,6590;111179588,3070
15.07.2018;64722783,9237;22579971,8254;52781852,9952;24651924,6574;145987160,5024
16.07.2018;195046131,5567;63205039,7407;71206685,6808;61551056,3846;243418060,3158
17.07.2018;327139558,7555;92870116,8499;69962622,5784;114439013,5706;381278309,8358
18.07.2018;290777371,9656;98438986,5256;69746168,7359;116399132,8915;439131835,1836
19.07.2018;165538137,5148;65772801,2575;58620288,0732;74591769,4962;307744158,3925
20.07.2018;231512599,3166;68757205,1037;61748171,0676;76324730,4275;338555934,1268
21.07.2018;82523911,0093;30008769,7641;54484719,9624;37627745,1566;213724786,6352
22.07.2018;124759699,0325;37781676,0867;48261186,6507;41421903,2434;209451372,8795
23.07.2018;331562306,6382;97054560,9501;62537435,5050;96114529,5924;308822719,2886
24.07.2018;508581204,8416;157213906,5308;80864446,9040;164657511,2864;504848375,2532
25.07.2018;293500171,6974;84585733,4379;67836926,0344;120023577,2986;394537166,4841
26.07.2018;250495604,8296;64136174,7810;68151571,0127;94148920,6787;342329974,9214
27.07.2018;271613367,1051;71206985,2683;66163134,4416;98139743,4288;357603088,7089
28.07.2018;105188166,9302;22782956,8046;62961804,3348;34076289,3465;215564976,7140
29.07.2018;83572020,0411;32704921,0196;68814969,1240;34835312,1786;209636408,0248
30.07.2018;300934658,7941;96175354,3956;85997863,9128;86348247,6655;324442637,4210
31.07.2018;332643248,6151;92659472,9005;72441034,7520;97397000,0948;373380073,6190
01.08.2018;225430959,3527;86714367,7287;75351468,7192;90133820,2764;323820605,2764
02.08.2018;133261115,7222;39658158,5180;64858700,7628;52115126,0298;272627928,6733
03.08.2018;227172630,3485;71097533,4204;72828010,6568;82183971,1574;329017904,4046
04.08.2018;208161228,0379;47890508,9283;72320821,9682;69585920,9195;254376060,1819
05.08.2018;123824335,2220;42470882,2091;65880862,6056;43892569,7966;231059674,8902
06.08.2018;123069897,8894;50755976,5428;63069050,8305;62137070,8544;227186032,2097
07.08.2018;213605921,5237;67441429,3246;39848828,4942;75009777,0490;305348549,2290
08.08.2018;317463403,0431;92170386,0915;42298042,9659;139127677,1139;374270763,7264
09.08.2018;217072966,3634;62066822,2244;62714332,0350;91523957,2075;339134655,5158
10.08.2018;263973648,8113;86549359,7579;77874205,2300;49572047,1570;362711476,1476
11.08.2018;224006679,4757;42546523,9329;59795822,7918;63311100,8157;293751961,1313
12.08.2018;142637806,7759;45247905,5972;64684131,9930;52575042,2578;243298225,0156
13.08.2018;192161758,9526;55627653,5046;66780691,4440;66314684,5655;336652210,1187
14.08.2018;318901433,5023;88167854,1057;80306968,0314;109916097,3213;310559593,5627
15.08.2018;398001334,8619;78410733,2514;81552590,7632;111504033,4490;431218712,8655
16.08.2018;158194778,4182;44821256,3489;67476670,2000;56691778,1966;306215149,1999
17.08.2018;171407569,8101;43580541,3167;66959393,6310;70672772,6441;380923352,8162
18.08.2018;123647664,3132;22377017,1584;67143081,1215;44612993,7747;343284952,0410
19.08.2018;86798914,6139;20345095,3780;64359141,6000;29022297,6625;292725073,6066
20.08.2018;190444955,0757;39160307,2101;70499778,5000;49477987,3089;309211488,4625
21.08.2018;184977799,2175;36640542,1977;65409379,4624;44430433,8917;269373259,2038
22.08.2018;308049640,6310;75987246,4660;76447136,4000;112007220,5125;495573068,4016
23.08.2018;118018989,9509;26285571,3021;63582168,5079;45677818,5232;263333180,5133
24.08.2018;132090023,2837;42664431,0055;72468224,3750;49696809,6587;255915829,1404
25.08.2018;110963996,4626;33531710,5780;64539871,8100;33216804,6459;129391960,0142
26.08.2018;104535456,3167;23288924,5036;69672785,6400;33610979,0286;134718434,9901
27.08.2018;157417732,7871;40485894,1476;63305703,4200;50509298,3870;260780978,1147
28.08.2018;198807763,4929;58221242,2914;69663000,5910;84006824,0682;342149824,7721
29.08.2018;138343258,8719;40305745,5510;65981115,3600;54227633,7367;304116034,1210
30.08.2018;159376008,0358;48016898,3662;74995876,8540;58149853,3040;312339516,0368
31.08.2018;127515077,8392;40593562,6420;81437766,3701;55114868,4263;283725444,0272
01.09.2018;139224937,9257;32982481,1819;70745075,9640;45132552,8658;290317831,4995
02.09.2018;299689365,8615;24004395,0705;68138718,6296;42954680,2815;290646047,2343
03.09.2018;153952130,3127;20539871,6765;85539676,6536;44506530,5585;235243593,8039
04.09.2018;145561886,8348;33353778,9836;85814796,6189;58872230,7743;259630174,5424
05.09.2018;350296873,9071;82862181,7336;89796013,1362;109458613,1360;426600654,4490
06.09.2018;341030015,7728;95211318,7852;65181515,1120;122270294,5754;394630982,8973
07.09.2018;132066885,4608;41861616,6453;72592548,9870;53480594,7193;248648002,6189
08.09.2018;112126154,5722;26460518,6416;66277219,3878;46894868,1464;236241545,1307
09.09.2018;94158844,5487;25587283,9657;60723511,7580;39583113,6385;231250498,4060
10.09.2018;89568651,6212;33835584,8741;65957883,0504;44272285,8594;204721134,2409
11.09.2018;102608892,1419;44442216,0228;57796960,6314;47199292,3882;208387253,6290
12.09.2018;102215714,5391;27073618,8525;25128330,7765;46995799,0618;199245936,8219
13.09.2018;117975563,6757;45304868,1169;72404565,3216;63567574,6340;262512241,0991
14.09.2018;99630394,3070;29779128,8780;66586555,1820;49827856,3262;240757964,3616
15.09.2018;53796625,0072;8664102,8730;63506400,2118;22190352,7616;164461413,0809
